,station,latitude,longitude,Mean,Std,V0,V1,V2
5900,UY000086315,-30.267,-57.583,26.9933333333,6.15537344295,-148.51148914,-79.8589887008,-22.9447671588
5901,CA006100345,45.42,-76.37,10.5944444444,14.1694398157,136.652405047,38.3062578316,-16.9238795591
5902,USC00034106,36.4194,-92.9158,21.3917582418,11.088405398,-78.4738709116,52.3279122459,-29.9481780562
5903,GM000003319,52.4639,13.3017,13.125,8.80022204078,56.526191833,-35.8239410091,-14.8298961973
5904,USW00013733,37.3208,-79.2067,19.7585164835,9.4660648378,-57.8301209819,19.162276999,-6.86419653609
5905,NOE00109984,60.7806,10.8117,6.64175824176,10.4299791486,183.312521359,-48.0855049733,-4.97508110241
5906,CA005052880,53.967,-101.1,4.70357142857,15.5774267294,256.792209891,31.5816800685,-1.23043311708
5907,USC00184485,38.6167,-76.6167,18.9384615385,9.78867948115,-41.2310958737,21.5380337034,11.8400860882
5908,USC00452645,48.3,-118.65,9.23975903614,9.14855890632,14.132161699,9.24864109814,-15.8555456168
5909,ASN00008151,-30.665,116.1386,24.7587912088,7.66729207541,-251.640310795,-204.505710044,-19.0089013771
5910,USC00027837,37.0,-112.9833,19.3906626506,9.51692864774,-63.7021251948,16.7029777055,-7.65587703542
5911,USC00167767,30.0564,-90.5803,26.6396067416,5.69515651326,-202.853416447,5.57763402134,-4.49056244856
5912,USC00058582,37.3842,-107.5822,14.443956044,9.41853397042,36.7055946764,-13.7392120177,-4.64122515477
5913,USC00238051,39.9714,-91.8872,17.5840659341,11.2296736498,-9.14120811711,31.7880384005,5.35453968994
5914,NOE00134166,61.5644,7.9978,-0.0131868131868,8.74725336849,289.308991791,-123.737862743,-18.1583616395
5915,USC00310626,34.7,-76.6333,21.5961077844,8.33450100524,-78.5282731923,14.7445585359,11.6886495196
5916,CA003073641,57.75,-117.62,8.97582417582,12.6249716845,149.318765289,-9.98257887939,-24.5703544369
5917,USC00425733,38.5744,-109.5458,22.5400552486,12.1590119818,-84.8942608486,95.7907442077,-28.0752928258
5918,CA00301B460,51.667,-110.2,10.5413888889,13.3851320196,127.617878581,13.7431121048,-37.842144307
